id,hip,label,proper,aliases,RA_deg,DEC_deg,distance_pc,distance_ly,spect,mag
15471,15510,82 G. Eri,82 G. Eri,HIP 15510 | HD 20794 | HR 1008 | Gl 139,49.97916,-43.069784,6.0434,19.7109117,G8V,4.26
119334,,HYG 119334,,Gl 783B,302.798685,-36.102643,6.0518,19.73830881,M3.5,11.5
71027,71253,HIP 71253,,HIP 71253 | Gl 555,218.57007,-12.519555,6.061,19.76831516,M4,11.32
98924,99240,Del Pav,,HIP 99240 | HD 190248 | HR 7665 | Gl 780 | Del Pav,302.177355,-66.182068,6.1084,19.9229131,G5IV-Vvar,3.55
118344,,HYG 118344,,GJ 3323,75.48717,-6.945051,6.135,20.0096706,m,12.1
119184,,HYG 119184,,GJ 1221,267.06282,70.874972,6.1425,20.0341323,DXP9,14.15
118488,,HYG 118488,,GJ 3454,114.104415,7.080332,6.1728,20.13295757,m,13.22
115766,116132,HIP 116132,,HIP 116132 | Gl 896A,352.967325,19.937259,6.182,20.16296392,M6Ve,10.05
82565,82817,HIP 82817,,HIP 82817 | HD 152751 | Gl 644A,253.86984,-8.336344,6.1954,20.20666882,M3Ve,9.02
99382,99701,HIP 99701,,HIP 99701 | HD 191849 | Gl 784,303.47169,-45.164019,6.1981,20.21547504,M0V,7.97
118644,,HYG 118644,,GJ 1128,145.722885,-68.885517,6.2112,20.25820147,m,12.78
118995,,HYG 118995,,GJ 3877,224.16006,-28.165379,6.2112,20.25820147,dM8,17.05
74766,74995,HIP 74995,,HIP 74995 | Gl 581,229.8618,-7.72228,6.2147,20.26961693,M5,10.57
119568,,HYG 119568,,Gl 896B,352.968045,19.937322,6.2477,20.37724841,dM6  e,12.4
34511,34603,HIP 34603,,HIP 34603 | Gl 268,107.50794,38.52946,6.2945,20.52988942,M5Ve,11.65
119134,,HYG 119134,,Gl 661B,258.031065,45.665514,6.3223,20.62056079,M3.5,10.4
45214,120005,HIP 120005,,HIP 120005 | HD 79211 | Gl 338B,138.605355,52.686376,6.3918,20.84723921,K2,7.7
118865,,HYG 118865,,GJ 2097,196.75938,20.815405,6.4103,20.90757807,m,12.58
118399,,HYG 118399,,Gl 223.2,88.79016,-4.169761,6.4599,21.06935144,DZ9,14.45
80218,80459,HIP 80459,,HIP 80459 | Gl 625,246.35184,54.304103,6.5164,21.25362958,M2,10.13
118812,,HYG 118812,,GJ 1156,184.75167,11.125205,6.5402,21.33125471,dM   e,13.81
114260,114622,HIP 114622,,HIP 114622 | HD 219134 | HR 8832 | Gl 892,348.31647,57.168355,6.5462,21.35082407,K3Vvar,5.57
53612,53767,HIP 53767,,HIP 53767 | Gl 408,165.01782,22.832962,6.6622,21.72916503,M3,10.03
118988,,HYG 118988,,Gl 566B,222.84732,19.099249,6.6997,21.85147353,K4 Ve,6.97
105765,106106,HIP 106106,,HIP 106106 | Gl 829,322.403265,17.64329,6.7047,21.86778133,M4,10.33
72432,72659,37Xi  Boo,,HIP 72659 | HD 131156 | HR 5544 | Gl 566A | 37Xi  Boo,222.847395,19.10046,6.7123,21.89256919,G8V + K4V,4.54
82557,82809,HIP 82809,,HIP 82809 | Gl 643,253.855125,-8.322576,6.715,21.9013754,M4,11.73
118530,,HYG 118530,,Gl 299,122.98944,8.775732,6.7568,22.03770861,dM5,12.83
52866,53020,HIP 53020,,HIP 53020 | Gl 402,162.716955,6.808149,6.7604,22.04945022,M4:,11.64
119513,,HYG 119513,,GJ 4285,339.490125,-65.822318,6.8027,22.18741421,m,11.45
85345,85605,HIP 85605,,HIP 85605,262.40103,24.654069,6.8101,22.21154976,,11.39
84451,84709,HIP 84709,,HIP 84709 | HD 156384 | HR 6426 | Gl 667A,259.73763,-34.989792,6.8357,22.29504569,K4V,5.91
112936,113296,HIP 113296,,HIP 113296 | HD 216899 | Gl 880,344.145135,16.553433,6.8451,22.32570436,M2:,8.68
118510,,HYG 118510,,Gl 293,118.280385,-67.791861,6.9109,22.540315,DQ9,14.08
119144,,HYG 119144,,Gl 667C,259.73895,-34.997665,6.9711,22.73666092,M2.5,10.24
119143,,HYG 119143,,Gl 667B,259.734435,-34.992895,6.9711,22.73666092,K5 V,7.2
102765,103096,HIP 103096,,HIP 103096 | HD 199305 | Gl 809,313.33245,62.15439,7.0487,22.98975797,M2V,8.55
51172,51317,HIP 51317,,HIP 51317 | Gl 393,157.23147,0.841,7.0671,23.04977068,M2,9.65
12082,12114,268 G. Cet,268 G. Cet,HIP 12114 | HD 16160 | HR 753 | Gl 105A,39.020355,6.88687,7.1803,23.41897927,K3V,5.79
118835,,HYG 118835,,GJ 3737,189.706755,-38.374865,7.1942,23.46431495,M4,12.74
118157,,HYG 118157,,Gl 105B,39.06465,6.87166,7.2088,23.51193373,dM4.5,11.66
119571,,HYG 119571,,GJ 1286,353.79423,-2.390374,7.215,23.5321554,M5,14.69
119212,,HYG 119212,,GJ 4053,274.730895,66.192187,7.2833,23.75491995,m,13.48
119230,,HYG 119230,,GJ 1230B,280.28739,24.786125,7.3529,23.98192452,m,14
119229,,HYG 119229,,GJ 1230A,280.287405,24.784458,7.3529,23.98192452,k-m,12.4
83688,83945,HIP 83945,,HIP 83945 | GJ 3991,257.381115,43.681351,7.4455,24.28394498,M3,11.77
3759,3765,96 G. Psc,96 G. Psc,HIP 3765 | HD 4628 | HR 222 | Gl 33,12.09573,5.280615,7.4549,24.31460364,K2V,5.74
119492,,HYG 119492,,GJ 4274,335.777745,-17.607447,7.4571,24.32177908,M4,13.25
2016,2021,Bet Hyi,,HIP 2021 | HD 2151 | HR 98 | Gl 19 | Bet Hyi,6.41874,-77.254247,7.4588,24.32732373,G2IV,2.82
